"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.374752640E0,-3.160240054E-1,1.971240044E-1,-2.641933918E0,2.668059945E0
1.379762794E0,-1.838829964E-1,1.982749999E-1,-2.931200981E0,2.943648268E0
1.384772927E0,-3.595099971E-2,1.231399998E-1,-3.106137037E0,3.108784848E0
1.389783081E0,2.518899925E-2,5.536200106E-2,-3.193552017E0,3.194131169E0
1.394793006E0,3.666099906E-2,-8.386900276E-2,-3.235460997E0,3.236755459E0
1.399803144E0,-1.864299923E-2,-2.556509972E-1,-3.328547955E0,3.338403283E0
1.404813298E0,-1.584799960E-2,-3.360539973E-1,-3.363883018E0,3.380664492E0
1.409823442E0,-2.276499942E-2,-4.019150138E-1,-3.312721014E0,3.337090715E0
1.414833596E0,-1.776459962E-1,-4.938290119E-1,-3.247845888E0,3.289973876E0
1.419843750E0,-1.277360022E-1,-4.743019938E-1,-3.307779074E0,3.344051625E0
1.424853829E0,-1.522949934E-1,-4.904299974E-1,-3.200686932E0,3.241621844E0
1.429863980E0,-3.744750023E-1,-5.424799919E-1,-3.024235964E0,3.095241385E0
1.434874120E0,-4.098080099E-1,-6.356080174E-1,-2.978116989E0,3.072640714E0
1.439884274E0,-3.297550082E-1,-7.636719942E-1,-2.836286068E0,2.955748964E0
1.444894447E0,-1.984509975E-1,-8.349990249E-1,-2.706783056E0,2.839591640E0
1.449904601E0,-1.582369953E-1,-8.580690026E-1,-2.592339993E0,2.735241853E0
1.454914531E0,-1.876389980E-1,-8.478289843E-1,-2.503343105E0,2.649669618E0
1.459924683E0,-1.746080071E-1,-8.013520241E-1,-2.426459074E0,2.561319320E0
1.464934837E0,-1.566230059E-1,-8.060939908E-1,-2.367415905E0,2.505788570E0
1.469944976E0,-9.278299659E-2,-7.690330148E-1,-2.351807117E0,2.476089090E0
1.474955129E0,-8.611600101E-2,-7.673670053E-1,-2.332019091E0,2.456538444E0
1.479965283E0,-7.404399663E-2,-7.300519943E-1,-2.292927980E0,2.407483572E0
1.484975362E0,-2.080499940E-2,-6.832619905E-1,-2.245616913E0,2.347354919E0
1.489985514E0,7.582899928E-2,-6.223049760E-1,-2.154031038E0,2.243404385E0
1.494995678E0,1.674139947E-1,-5.824990273E-1,-1.972826004E0,2.063825333E0
1.500005832E0,2.594110072E-1,-5.294420123E-1,-1.903000951E0,1.992238824E0
1.505015991E0,3.123709857E-1,-4.704869986E-1,-1.813261032E0,1.899170666E0
1.510025916E0,3.904860020E-1,-4.365040064E-1,-1.739657044E0,1.835598458E0
1.515036081E0,3.875539899E-1,-4.040459991E-1,-1.649363041E0,1.741794966E0
1.520046234E0,3.698419929E-1,-3.318279982E-1,-1.566712022E0,1.643617802E0
1.525056388E0,3.296859860E-1,-2.645010054E-1,-1.458981991E0,1.518974022E0
1.530066542E0,2.910859883E-1,-2.657330036E-1,-1.305089951E0,1.363306591E0
1.535076683E0,2.370930016E-1,-2.444040030E-1,-1.165657043E0,1.214373399E0
1.540086762E0,1.445260048E-1,-2.559899986E-1,-1.077869058E0,1.117237822E0
1.545096918E0,2.070800029E-2,-2.805410028E-1,-9.894769788E-1,1.028686914E0
1.550107072E0,-1.008350030E-1,-2.910239995E-1,-8.960409760E-1,9.474978084E-1
